NHx-deposition	mg N/m2/year		im = 72		jm = 48		year1860			
	1.45	1.59	1.71	2.12	2.06	2.09	1.96	1.46	1.2	0.64
	0.49	0.32	0.38	0.27	0.3	0.55	0.49	0.3	0.27	0.32
	0.31	0.43	0.45	0.81	1.05	1.14	1.32	1.71	1.75	1.3
	1.27	1.85	2.15	2.6	2.55	2.26	2.02	1.73	1.54	1.5
	1.61	1.44	1.55	1.6	1.4	1.02	1.2	1.13	1.35	1.31
	1.27	1.18	1.2	1.49	2.04	1.98	1.65	1.37	1.47	1.56
	1.41	1.29	1.27	1.35	1.47	1.38	1.41	1.31	1.28	1.27
	1.4	1.49	1.71	1.84	1.94	1.94	1.78	1.72	1.8	1.78
	1.77	1.79	1.65	1.42	1.42	1.44	1.36	1.52	1.76	1.67
	1.59	1.35	1.42	1.46	1.41	1.29	1.41	1.34	1.3	1.27
	1.26	1.25	1.46	1.5	1.62	1.56	1.67	1.75	1.82	1.85
	1.88	1.98	1.97	2.02	2.09	2.13	2.01	2.16	2.05	1.83
	1.73	1.75	1.69	2.04	2.04	2.12	2.04	1.96	1.83	1.74
	1.54	1.34	1.23	1.24	1.66	1.66	1.66	1.66	1.66	1.66
	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66
	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66
	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66
	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66
	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66
	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66	1.66
	1.66	1.66	1.66	1.66	1.66	1.66				
